SNo,Date,StartupName,Location,IndustryVertical,SubVertical,InvestorsName,InvestmentType,AmountInUSD,Remarks
1034,29/01/2016,FreshMenu,Bangalore,Consumer Internet,Fresh Food Delivery platform,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,17000000,
1035,29/01/2016,Truebil,Mumbai,ECommerce,Online marketplace for cars,"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",Private Equity,5150000,
1036,29/01/2016,Rare Media,New Delhi,Technology,Mobile & Cloud based App developer,Info Edge (India) Ltd,Private Equity,1100000,
1037,29/01/2016,TinMen,Hyderabad,Consumer Internet,Food Delivery Platform,Lead Angel Network,Seed Funding,,
1038,29/01/2016,CodingLabs,Hyderabad,Technology,Coding Skill Showcase & Resume Builder,Vineet Nalla,Seed Funding,,
1039,30/01/2016,FindUrClass,Mumbai,Consumer Internet,Hobby & Activity Class Aggregator,"Amit Patni, Anirudh Damani, Samir Shah",Seed Funding,,
1040,30/01/2016,DesignBids,New Delhi,Consumer Internet,Interior Design Marketplace,Indian Angel Network,Seed Funding,,
1041,2016-01-02 00:00:00,Blue Tokai Coffee,New Delhi,ECommerce,Specialty Coffee Etailer,Snow Leopard Technology Ventures,Seed Funding,,
1042,2016-02-02 00:00:00,Altizone,Pune,Technology,IoT & M2M Solutions,"Wipro Ventures,  Lumis Partners",Private Equity,4000000,
1043,2016-02-02 00:00:00,Oust App,Bangalore,Consumer Internet,Competitive Exam Preparation Platform,"T V Mohandas Pai,  Aarin Capital",Seed Funding,,
1044,2016-02-02 00:00:00,Strike,Bangalore,Consumer Internet,Mobile Email productivity tool,Multiple investors through Ten Minute Million competition,Seed Funding,22500,
1045,2016-02-02 00:00:00,MaaxMarket,,Consumer Internet,Marketing Automation platform,Multiple investors through Ten Minute Million competition,Seed Funding,22500,
1046,2016-02-02 00:00:00,Gamooz,Gurgaon,Technology,Augmented Reality Solutions,Multiple investors through Ten Minute Million competition,Seed Funding,22500,
1047,2016-02-02 00:00:00,SoundSurround,Mumbai,Technology,Audio Technology Solutions,Multiple investors through Ten Minute Million competition,Seed Funding,22500,
1048,2016-03-02 00:00:00,Mazkara,Pune / Dubai,Consumer Internet,Beauty & Wellness Platform,Dunamis Ventures Pte Ltd.,Seed Funding,1000000,
1049,2016-03-02 00:00:00,RoadGods,New Delhi,ECommerce,Auto Spare Parts eTailer,Green House Ventures (GHV),Seed Funding,100000,
1050,2016-03-02 00:00:00,Pindropmusic,Noida,Consumer Internet,Music Discovery Mobile App,Green House Ventures (GHV),Seed Funding,100000,
1051,2016-03-02 00:00:00,Woodpie,Bangalore,Consumer Internet,Book Recommendation Service,Ingram Content Group,Seed Funding,30000,
1052,2016-04-02 00:00:00,Perfumery,New Delhi,ECommerce,Fragrances & Perfume eTailer,Oranda Global & Others,Seed Funding,30000,
1053,2016-05-02 00:00:00,Magic Crate,Bangalore,Education,Children Education Platform,"TV Mohandas Pai, Aarin Capital",Seed Funding,,
1054,2016-05-02 00:00:00,ZenDrive,Bangalore / SFO,Technology,Safe Driving Data & Analytics platform,"Sherpa Capital, Nyca Partners and Thomvest Ventures",Private Equity,13500000,
1055,2016-05-02 00:00:00,Smartcooky,New Delhi,ECommerce,Marketplace for Health Foods,"Vandana Luthra,",Private Equity,,
1056,2016-05-02 00:00:00,Turtlemint,Mumbai,Consumer Internet,online personalized insurance platform,Nexus Venture Partners,Private Equity,,
1057,2016-05-02 00:00:00,BHIVE,Bangalore,Real Estate,Workspace Rentals,"Raghunandan G, Venturesity, Arihant Patni",Seed Funding,,
1058,2016-05-02 00:00:00,Gingercrush,Vadodara,Ecommerce,Personalized Products & Merchandize eTailer,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",Private Equity,1000000,
1059,2016-05-02 00:00:00,American Vision,Pune,Consumer Internet,Optical Store Aggregator Platform,Undisclosed investors,Seed Funding,81000,
1060,2016-05-02 00:00:00,DawaiLelo,Varanasi,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Undisclosed investors,Seed Funding,52000,
1061,2016-06-02 00:00:00,Heads Up For Tails,New Delhi,Ecommerce,Pet Products eTailer,Undisclosed investors,Seed Funding,1000000,
1062,2016-06-02 00:00:00,LiveNutriFit,New Delhi,Healthcare,Weight loss & Healthcare Info portal,"Mohit Goel, Vinod Jain & Others",Seed Funding,,
1063,2016-08-02 00:00:00,Moglix,New Delhi,Ecommerce,Industrial & Home Products Marketplace,Ratan Tata,Private Equity,,
1064,2016-08-02 00:00:00,iStyleYou,Gurgaon,Consumer Internet,Personal Fashion Stylist App,Green House Ventures (GHV),Seed Funding,100000,
1065,2016-08-02 00:00:00,AdUrCup,New Delhi,Consumer Internet,Ad Network,Green House Ventures (GHV),Seed Funding,100000,
1066,2016-08-02 00:00:00,Weddingz,Mumbai,Consumer Internet,online marketplace for wedding venues and vendors,Sixth Sense Ventures,Private Equity,,
1067,2016-08-02 00:00:00,Urban Dhobi,Jaipur,Consumer Internet,On Demand Laundry Services,"Vinod Bansal, Sanjeev Singhal",Seed Funding,,
1068,2016-08-02 00:00:00,Gray Routes,Mumbai,Consumer Internet,Last mile logistics solutions,"Mahesh Parasuraman, Rahul Gautam & Others",Seed Funding,,
1069,2016-08-02 00:00:00,Xpressbees,Pune,ECommerce,ECommerce Logistics solutions,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,12500000,
1070,2016-08-02 00:00:00,Invictus Oncology,New Delhi,Healthcare,Cancer therapeutic Info & Solutions,Ratan Tata,Private Equity,,
1071,2016-08-02 00:00:00,Hansel.io,Bangalore,Technology,Mobile App Tech Solutions,"Endiya Partners, Mekin Maheshwari, Rajesh Sawhney",Seed Funding,,
1072,2016-09-02 00:00:00,Inc42,New Delhi,Consumer Internet,Startup Focused Media News Portal,"India Ventures, Aarin Capital & Others",Seed Funding,,
1073,2016-09-02 00:00:00,GOQii,Mumbai,Technology,Personalized fitness coaching & Fitness band,Edelweiss Financial Services,Private Equity,,
1074,2016-10-02 00:00:00,Capzest,Mumbai,Consumer Internet,Digital Lending Platform,Lion Ventures,Seed Funding,200000,
1075,2016-10-02 00:00:00,GlamStudios,Noida,Consumer Internet,Online Salon Aggregator,Aqeel Ahmed,Seed Funding,,
1076,2016-10-02 00:00:00,Affimity,Bangalore,Consumer Internet,Social Networking platform,undisclosed investors,Seed Funding,1200000,
1077,2016-10-02 00:00:00,Anandakanda,Pune,Technology,Medicine Intake Reminder System,undisclosed investors,Seed Funding,150000,
1078,2016-10-02 00:00:00,JoulestoWatts,Bangalore,Technology,IT services & Talent collaboration services startup,Manipal Global Education Services,Seed Funding,,
1079,2016-10-02 00:00:00,Shopkirana,Indore,Consumer Internet,Retailer Supply Chain platform,"Atul Jain, Anil Gelra, Jaikumar Nair",Seed Funding,,
1080,2016-10-02 00:00:00,Stylofie,Gurgaon,Consumer Internet,Online Beauty Parlour search & discovery Platform,Jaideep Mehta,Seed Funding,,
1081,2016-10-02 00:00:00,OyBob,Gurgaon,eCommerce,Hyperlocal Products & Services marketplace,Sachin Dalal,Seed Funding,,
1082,2016-12-02 00:00:00,ActOnMagic,Bangalore,Technology,Cloud Analytics and Management Products,Jayabalan Subramanian,Seed Funding,125000,
1083,2016-12-02 00:00:00,Bonhomia,New Delhi,Food & Beverage,premium Tea and Coffee,"Alok Rawat, Grey Orange Robotics",Seed Funding,1000000,
1084,2016-12-02 00:00:00,iGrenEnergi,Mumbai,Technology,Solar Power Solutions,Sunil Mehta,Seed Funding,1000000,
